UID 	Description 	Phone 	DN 	Groups
phone_reader 	Limited account for phonebook webapp 		uid=phonebook_reader,ou=people,dc=local,dc=tcc
stoeckle 	Standard account 	7257737132 	uid=stoeckle,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
thorsby 	Standard account 	7052311394 	uid=thorsby,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
melody 	Standard account 	3112319103 	uid=melody,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
tofpik 	Standard account 	6756489622 	uid=tofpik,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
torricella 	Standard account 	4135349119 	uid=torricella,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
fallowes 	Standard account 	9278035956 	uid=fallowes,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
collman 	Standard account 	2875860976 	uid=collman,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
armistead 	Standard account 	7876842421 	uid=armistead,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
moggan 	Standard account 	5186774996 	uid=moggan,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
ruusa 	Standard account 	5883659400 	uid=ruusa,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
daintry 	Standard account 	7086072184 	uid=daintry,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
bleakman 	Standard account 	2706097831 	uid=bleakman,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
oscanlan 	Standard account 	9206991453 	uid=oscanlan,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
clines 	Standard account 	3314649637 	uid=clines,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
guillond 	Standard account 	8497196940 	uid=guillond,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
heibel 	Standard account 	6035989436 	uid=heibel,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
hessay 	Standard account 	4998785390 	uid=hessay,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
jahncke 	Standard account 	9002196519 	uid=jahncke,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
bjerkan 	Standard account 	2206838387 	uid=bjerkan,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
kinsella 	Standard account 	5867282457 	uid=kinsella,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
pardy 	Standard account 	6923172138 	uid=pardy,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
reuben 	Standard account 	4934389706 	uid=reuben,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
notti 	Standard account 	9162409208 	uid=notti,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
bilborough 	Standard account 	7995330936 	uid=bilborough,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
fairbairn 	Standard account 	5714786957 	uid=fairbairn,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
oheaney 	Standard account 	1778562107 	uid=oheaney,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
gepp 	Standard account 	2143886537 	uid=gepp,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
iozefovich 	Standard account 	6253355029 	uid=iozefovich,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
oddy 	Standard account 	3965623745 	uid=oddy,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
lyddyard 	Standard account 	2864900855 	uid=lyddyard,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
byer 	Standard account 	8148022508 	uid=byer,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
kuhl 	Standard account 	4586072067 	uid=kuhl,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
shale 	Standard account 	3156939800 	uid=shale,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
ely 	Standard account 	9894621863 	uid=ely,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
grimsditch 	Standard account 	2525224643 	uid=grimsditch,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
rawlins 	Standard account 	7596296460 	uid=rawlins,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
hedges 	Standard account 	4613900781 	uid=hedges,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
champion 	Standard account 	1005281652 	uid=champion,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
legister 	Standard account 	5244540103 	uid=legister,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
osman 	Standard account 	3749967267 	uid=osman,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
spur 	Standard account 	9055825386 	uid=spur,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
vancastele 	Standard account 	9473537707 	uid=vancastele,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
alner 	Standard account 	5532756085 	uid=alner,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
boak 	Standard account 	9456449423 	uid=boak,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
songust 	Standard account 	9745698747 	uid=songust,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
plumptre 	Standard account 	8921972928 	uid=plumptre,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
klaessen 	Standard account 	4716631033 	uid=klaessen,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
wilcock 	Standard account 	6913555969 	uid=wilcock,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
schwandermann 	Standard account 	5084036802 	uid=schwandermann,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
nayer 	Standard account 	1291687611 	uid=nayer,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
findlay 	Standard account 	5811645324 	uid=findlay,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
fanton 	Standard account 	2309374788 	uid=fanton,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
rochell 	Standard account 	4822036092 	uid=rochell,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
josephoff 	Standard account 	9199843590 	uid=josephoff,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
pollastrone 	Standard account 	5644874554 	uid=pollastrone,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
chmarny 	Standard account 	9571402696 	uid=chmarny,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
erni 	Standard account 	3989783504 	uid=erni,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
hinkens 	Standard account 	9375542385 	uid=hinkens,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
lesmonde 	Standard account 	2278522963 	uid=lesmonde,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
iltchev 	Standard account 	6314086639 	uid=iltchev,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
lutton 	Standard account 	6649268160 	uid=lutton,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
schuricht 	Standard account 	9327079558 	uid=schuricht,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
hedney 	Standard account 	4945036745 	uid=hedney,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
brotherheed 	Standard account 	8417440203 	uid=brotherheed,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
skeech 	Standard account 	2108744716 	uid=skeech,ou=people,dc=local,dc=tcc 	cn=users,ou=groups,dc=local,dc=tcc
admin1 	Admin account 	7254437132 	uid=admin1,ou=people,dc=local,dc=tcc 	cn=admins,ou=groups,dc=local,dc=tcc
admin2 	Admin account 	5452487532 	uid=admin2,ou=people,dc=local,dc=tcc 	cn=admins,ou=groups,dc=local,dc=tcc,cn=web_admins,ou=groups,dc=local,dc=tcc
ldap_sync 	Don't change password. gasg35faCasgt%AF 		uid=ldap_sync,ou=people,dc=local,dc=tcc 	cn=admins,ou=groups,dc=local,dc=tcc
